job,system,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_permit_days,filing_to_permit_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
102311179,BIS,2005,MANHATTAN,OTHERS,0,Small (1-3 fl),3418,112.3,,,2752,90.4,True,
102318555,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),2714,89.2,,,,,False,
102395597,BIS,2007,MANHATTAN,OTHERS,0,Small (1-3 fl),1776,58.3,,,,,False,
102403052,BIS,2008,MANHATTAN,OTHERS,0,Small (1-3 fl),2880,94.6,,,1677,55.1,True,
102854724,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),2943,96.7,,,2929,96.2,True,
103045704,BIS,2005,MANHATTAN,OTHERS,0,Small (1-3 fl),2286,75.1,,,,,False,
103060394,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),1057,34.7,,,,,False,
103225831,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),1770,58.1,,,,,False,Y
103272076,BIS,2005,MANHATTAN,OTHERS,0,Small (1-3 fl),1052,34.6,,,,,False,
103322815,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),3299,108.4,,,2934,96.4,True,Y
103340396,BIS,2005,MANHATTAN,OTHERS,0,Small (1-3 fl),3019,99.2,,,2598,85.3,True,
103420647,BIS,2004,MANHATTAN,OTHERS,6,Mid (4-10 fl),2217,72.8,,,,,False,Y
103533231,BIS,2006,MANHATTAN,OTHERS,0,Small (1-3 fl),1662,54.6,,,,,False,
103541936,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),3331,109.4,,,2932,96.3,True,Y
103542052,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),882,29.0,,,,,False,Y
103550220,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),859,28.2,,,,,False,Y
103560576,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),1214,39.9,,,,,False,
103563948,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),3253,106.9,,,3072,100.9,True,Y
103592202,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),2134,70.1,,,,,False,Y
103594059,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),3475,114.2,,,3076,101.1,True,
103598153,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),1933,63.5,,,,,False,
103600499,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),1516,49.8,,,,,False,Y
103637888,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),1099,36.1,,,,,False,
103673473,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),1853,60.9,,,,,False,Y
103681455,BIS,2004,MANHATTAN,OTHERS,13,Large (11-30 fl),4079,134.0,,,3144,103.3,True,Y
103682016,BIS,2004,MANHATTAN,OTHERS,6,Mid (4-10 fl),1183,38.9,,,,,False,Y
103682249,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),4496,147.7,,,2958,97.2,True,
103682702,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),2841,93.3,,,,,False,
103687146,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),2169,71.3,,,,,False,
103690276,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),2592,85.2,,,,,False,
103696911,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),3844,126.3,,,3091,101.5,True,Y
103700158,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),2072,68.1,,,,,False,
103705938,BIS,2004,MANHATTAN,OTHERS,0,Small (1-3 fl),1878,61.7,,,,,False,Y
