job,system,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_permit_days,filing_to_permit_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
B00480477-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),1222,40.1,425,14.0,,,False,
B00480477-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),990,32.5,342,11.2,,,False,
B00480477-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),1218,40.0,463,15.2,,,False,
B00480477-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),836,27.5,75,2.5,,,False,
B00480477-S6,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),365,12.0,71,2.3,,,False,
B00480477-S7,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),825,27.1,64,2.1,,,False,
B00480477-S8,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),824,27.1,93,3.1,,,False,
B00481199-S1,DOB NOW,2022,BROOKLYN,OTHERS,0,Mid (4-10 fl),928,30.5,130,4.3,,,False,
B00481199-S2,DOB NOW,2022,BROOKLYN,OTHERS,0,Mid (4-10 fl),937,30.8,125,4.1,,,False,
B00481199-S3,DOB NOW,2022,BROOKLYN,OTHERS,0,Mid (4-10 fl),924,30.4,122,4.0,,,False,
B00481235-S2,DOB NOW,2022,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),1071,35.2,137,4.5,,,False,
B00481235-S3,DOB NOW,2022,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),1071,35.2,137,4.5,,,False,
B00482269-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1080,35.5,248,8.1,,,False,
B00482269-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1078,35.4,211,6.9,,,False,
B00482269-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),801,26.3,162,5.3,,,False,
B00482269-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1200,39.4,380,12.5,,,False,
B00482269-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1117,36.7,561,18.4,,,False,
